,"(0,0)","(0,1)","(0,2)","(1,0)","(1,1)","(1,2)","(2,0)","(2,1)","(2,2)",Winner
142,2,2,2,2,1,1,1,1,1,1
143,2,2,1,1,2,1,2,1,1,1
144,1,2,1,1,2,1,1,2,2,2
145,1,2,1,1,2,1,2,1,2,0
146,2,1,1,2,1,2,2,2,1,2
147,0,2,1,2,2,1,0,1,1,1
148,1,2,1,1,1,2,2,2,1,1
149,2,1,1,2,1,2,2,1,1,1
150,1,2,2,1,1,0,1,2,0,1
151,2,0,1,2,1,2,1,2,0,1
152,1,1,1,2,2,2,1,1,2,2
153,2,2,1,1,2,1,2,1,1,1
154,0,2,0,1,2,0,1,2,0,2
155,2,2,1,0,0,2,1,1,1,1
156,1,1,1,2,2,2,2,1,1,2
157,1,2,2,2,1,0,0,2,1,1
158,1,2,2,2,1,1,1,2,2,0
159,2,0,1,0,2,1,2,1,1,1
160,1,2,0,2,2,2,1,1,0,2
161,2,1,1,1,2,2,2,2,1,0
162,2,1,1,2,2,1,1,2,2,2
163,1,2,1,2,1,2,1,1,2,1
164,1,0,2,2,1,2,2,0,1,1
165,1,1,1,2,2,1,1,2,2,1
166,0,0,1,0,2,1,2,0,1,1
167,1,1,2,2,1,2,2,2,1,1
168,1,2,1,2,1,2,2,1,1,1
169,2,1,0,2,2,0,1,1,2,2
170,2,0,1,1,2,1,1,0,2,2
171,0,1,0,2,2,2,1,1,1,1
172,2,2,0,2,1,1,2,1,0,2
173,2,2,1,1,2,1,1,2,1,1
174,0,2,1,0,2,1,2,2,1,1
175,1,1,1,0,0,2,0,2,0,1
176,0,0,1,2,1,0,1,0,2,1
177,1,1,2,1,2,2,2,2,1,2
178,2,2,1,2,1,2,2,1,1,2
179,1,2,1,2,2,1,2,1,1,1
180,1,1,0,0,0,0,2,2,2,2
181,1,2,1,1,1,2,2,2,2,2
182,1,2,1,2,2,1,2,1,2,0
183,2,1,1,2,1,2,2,1,2,1
184,2,1,2,1,2,0,1,0,2,2
185,1,1,1,2,1,2,0,0,2,1
186,2,1,1,2,1,2,1,2,2,1
187,2,2,1,1,2,1,1,2,1,1
188,2,2,2,2,0,1,0,1,1,2
189,2,1,2,2,1,2,1,1,2,2
190,1,1,2,1,1,2,2,2,1,1
191,2,1,2,1,1,2,1,2,1,0
192,1,1,1,2,1,2,2,2,2,2
193,2,2,2,1,2,2,1,1,1,1
194,1,2,2,2,2,1,2,1,1,2
195,2,2,2,1,1,1,2,2,1,1
196,1,2,2,0,1,2,1,0,2,2
197,1,0,1,2,2,1,0,2,1,1
198,2,1,1,2,2,2,2,1,1,2
199,2,2,2,1,1,1,2,1,2,1
200,1,2,1,1,2,2,2,1,1,0
201,1,2,0,1,2,0,1,2,2,2
202,2,0,2,1,2,1,1,0,2,2
203,1,2,1,1,2,2,2,1,1,0
204,0,0,2,1,1,1,2,0,0,1
205,1,1,2,2,2,1,1,2,1,0
206,2,2,1,2,2,2,1,1,1,1
207,1,2,2,2,1,2,1,2,1,1
208,1,2,2,1,1,1,2,1,2,1
209,1,0,2,2,1,2,1,0,1,1
210,2,1,1,1,2,0,0,1,2,2
211,0,2,0,0,0,2,1,1,1,1
212,2,1,1,2,2,2,1,2,1,2
213,0,1,1,2,2,1,0,2,1,1
214,2,1,2,1,1,2,1,2,1,0
215,2,1,2,2,2,2,1,1,1,1
216,1,2,2,1,2,2,1,1,2,2
217,2,1,0,1,1,1,2,0,2,1
218,1,2,1,1,2,1,1,2,2,2
219,0,2,0,2,2,1,1,2,1,2
220,2,2,1,0,1,1,1,0,2,1
221,2,0,1,2,0,2,1,1,1,1
222,2,1,2,1,1,2,1,2,1,0
223,1,1,2,2,1,2,2,2,1,1
224,2,1,1,2,2,2,0,0,1,2
225,1,1,2,1,1,2,0,0,2,2
226,1,2,2,1,1,2,2,1,1,1
227,2,0,0,1,1,1,0,0,2,1
228,2,2,1,1,2,1,2,1,1,1
229,1,1,2,2,1,2,1,2,1,1
230,2,2,2,2,1,0,0,1,1,2
231,1,2,1,2,2,2,1,1,2,2
232,0,1,2,2,1,0,0,1,0,1
233,1,2,1,1,2,2,2,1,1,0
234,1,2,1,1,1,2,2,1,2,0
235,2,1,2,2,1,1,1,1,2,1
236,2,2,2,1,1,0,1,1,0,2
237,0,1,2,0,0,2,0,1,2,2
238,1,1,1,0,0,0,2,2,0,1
239,0,1,1,2,2,2,1,1,0,2
240,2,1,2,2,1,0,0,1,1,1
241,2,1,1,1,2,1,1,2,2,2
242,2,2,1,0,1,0,1,2,2,1
243,1,1,1,1,2,2,2,1,2,1
244,2,0,0,1,1,1,2,2,1,1
245,1,2,2,1,1,2,2,1,1,1
246,2,2,2,1,2,0,1,1,0,2
247,1,2,1,2,1,1,2,1,2,0
248,2,0,0,2,1,0,2,1,0,2
249,2,2,0,1,2,0,1,1,2,2
250,1,2,1,2,2,2,1,0,0,2
251,1,2,2,2,1,1,2,1,2,0
252,2,1,2,1,2,1,1,1,2,2
253,0,2,1,1,0,1,2,2,1,1
254,2,1,1,1,0,0,2,2,2,2
255,1,0,1,2,2,1,2,0,1,1
256,1,2,0,1,2,2,1,0,1,1
257,0,2,1,2,2,2,1,1,0,2
258,2,2,2,1,1,1,1,0,0,1
259,0,1,2,0,2,1,2,0,0,2
260,2,2,1,1,2,1,2,1,2,2
261,1,1,2,2,1,2,2,1,2,2
262,1,1,2,1,1,2,1,2,2,2
263,1,2,1,1,2,2,1,2,1,2
264,1,2,2,2,1,1,1,2,1,1
265,2,1,2,1,1,2,2,2,1,0
266,1,2,1,1,2,2,2,1,2,0
267,2,1,1,1,1,2,2,1,2,1
268,1,2,2,2,1,1,1,2,2,0
269,1,2,1,2,1,2,1,1,2,1
270,2,2,1,1,2,2,1,1,1,1
271,2,2,2,0,1,1,0,0,0,2
272,0,0,1,2,2,1,0,0,1,1
273,2,2,1,2,1,1,1,1,2,1
274,2,1,1,2,1,2,2,1,2,1
275,1,1,2,2,1,2,2,1,1,1
276,2,2,2,2,1,2,1,1,1,1
277,0,1,2,0,1,2,1,1,2,2
278,2,1,1,2,1,2,1,2,1,1
279,1,2,2,1,1,1,2,1,2,1
