,"(0,0)","(0,1)","(0,2)","(1,0)","(1,1)","(1,2)","(2,0)","(2,1)","(2,2)",Winner
622,1,1,2,2,1,2,2,1,2,2
623,2,2,2,0,0,0,1,1,0,2
624,2,2,1,0,2,1,0,1,1,1
625,2,1,2,1,1,1,1,2,2,1
626,0,1,2,0,2,0,2,0,1,2
627,1,1,2,1,0,0,1,2,2,1
628,1,2,2,1,2,2,2,1,1,2
629,2,1,1,1,2,1,2,1,2,2
630,1,2,0,1,2,0,2,2,1,2
631,1,2,1,1,2,1,1,2,2,2
632,1,2,2,2,1,1,2,1,1,1
633,1,1,1,0,1,2,2,0,2,1
634,2,0,1,0,2,1,1,1,2,2
635,1,2,1,1,2,1,2,2,1,1
636,1,1,1,1,2,2,1,2,2,1
637,1,1,2,2,2,2,1,2,1,2
638,1,1,1,2,0,0,0,0,2,1
639,1,2,2,1,2,1,1,2,1,2
640,1,2,0,2,1,2,0,1,1,1
641,2,2,2,1,1,2,1,2,1,2
642,2,1,2,1,1,1,2,1,2,1
643,1,2,1,1,2,2,2,1,2,0
644,1,1,2,2,2,1,1,1,2,0
645,2,1,2,1,1,2,2,2,1,0
646,1,1,1,2,2,1,2,1,2,1
647,2,1,2,1,2,1,1,2,1,0
648,0,2,2,1,1,1,0,2,2,1
649,1,2,2,1,1,2,1,1,2,2
650,2,2,1,1,1,1,2,2,2,2
651,1,1,2,1,2,2,1,2,1,1
652,1,2,2,2,2,1,1,2,1,2
653,1,1,1,2,2,0,2,2,0,1
654,1,1,0,2,1,0,2,2,2,2
655,1,0,1,0,1,2,2,2,2,2
656,1,2,1,2,2,1,2,1,1,1
657,1,0,0,0,1,0,2,2,2,2
658,0,1,2,2,2,0,1,1,1,1
659,1,1,1,2,0,0,0,2,0,1
660,2,1,2,1,1,2,1,2,2,2
661,2,1,1,1,2,1,0,0,2,2
662,2,2,2,1,1,1,1,1,2,1
663,1,2,2,1,2,1,2,1,2,2
664,0,1,0,0,1,2,0,1,2,1
665,0,2,1,0,0,1,0,2,1,1
666,1,0,1,0,1,2,2,2,2,2
667,1,1,2,1,2,2,2,2,1,2
668,1,2,1,2,2,1,1,2,1,1
669,1,2,1,2,1,2,1,2,2,1
670,0,0,2,1,1,1,2,1,2,1
671,1,2,2,2,2,1,1,1,2,0
672,0,2,1,1,2,0,1,2,1,2
673,2,1,2,1,2,1,2,2,1,2
674,1,2,0,2,2,0,1,2,1,2
675,1,1,2,2,1,2,2,1,2,2
676,1,1,2,1,2,1,2,1,2,2
677,2,2,1,2,1,1,2,1,2,2
678,2,1,1,1,2,2,2,2,1,0
679,1,1,2,2,2,1,1,2,2,0
680,1,0,1,2,1,2,1,0,2,1
681,1,2,2,1,1,2,2,1,2,2
682,1,2,2,2,2,1,1,1,1,1
683,2,2,1,0,0,1,1,2,1,1
684,2,2,1,0,1,1,1,0,2,1
685,2,2,1,1,2,1,1,2,1,1
686,2,1,2,1,1,2,1,1,2,2
687,2,1,1,1,2,2,2,1,1,0
688,1,1,2,2,2,1,2,2,1,2
689,1,2,1,2,2,2,1,1,1,1
690,1,1,2,1,2,2,0,0,2,2
691,2,2,1,2,1,0,1,1,0,1
692,2,1,2,0,2,0,1,1,1,1
693,0,0,1,2,2,2,0,0,1,2
694,2,1,2,0,1,2,1,1,0,1
695,1,1,2,2,1,2,2,2,1,1
696,2,1,2,2,0,1,2,0,1,2
697,2,2,1,1,2,2,1,1,2,2
698,1,2,2,2,1,1,2,1,1,1
699,2,2,1,1,2,1,2,1,2,2
700,1,1,2,2,2,2,2,1,1,2
701,2,2,1,1,2,1,2,1,2,2
702,2,2,1,1,2,2,2,1,1,0
703,1,2,0,2,1,0,0,0,1,1
704,2,1,1,2,1,2,1,2,1,1
705,1,1,1,0,2,0,1,2,2,1
706,0,2,1,0,2,2,1,2,1,2
707,0,1,0,0,1,0,2,1,2,1
708,1,1,2,2,1,1,2,2,2,2
709,1,2,1,1,1,1,2,2,2,2
710,1,1,1,2,1,1,2,2,2,2
711,0,0,1,2,1,2,1,1,2,1
712,1,0,2,1,2,1,2,0,1,2
713,1,2,2,1,2,1,0,2,0,2
714,1,2,2,2,1,1,2,2,1,1
715,1,1,2,2,2,1,2,1,1,2
716,1,0,2,1,2,2,1,1,0,1
717,1,0,2,2,2,1,2,0,1,2
718,1,1,0,2,1,0,2,2,1,1
719,2,1,2,1,1,2,2,1,1,1
720,2,1,1,2,1,2,1,1,2,1
721,0,2,1,2,1,0,1,0,0,1
722,2,1,1,2,1,2,2,1,2,1
723,2,1,1,1,2,2,2,1,2,2
724,1,2,1,1,1,2,2,1,2,0
725,2,0,2,1,2,0,1,1,2,2
726,2,2,2,2,1,1,1,1,2,2
727,0,2,2,1,1,1,0,1,2,1
728,0,0,2,1,1,1,0,2,0,1
729,2,2,1,1,1,2,1,2,2,1
730,0,1,2,1,1,1,0,2,2,1
731,2,2,1,1,1,1,2,1,2,1
732,1,1,0,2,2,2,1,0,2,2
733,1,1,2,1,2,0,2,1,0,2
734,2,1,2,2,2,1,1,1,1,1
735,1,0,2,0,1,0,2,0,1,1
736,1,0,2,2,1,2,2,0,1,1
737,1,1,2,2,2,1,1,2,1,0
738,2,0,0,1,1,1,0,0,2,1
739,2,0,0,2,1,1,2,1,1,2
740,0,0,2,1,1,1,1,2,2,1
741,2,1,2,2,1,1,2,1,2,1
742,1,2,0,1,2,2,1,2,0,2
743,2,1,1,1,1,2,2,1,2,1
744,0,0,2,0,2,0,2,1,1,2
745,1,0,2,0,2,1,2,2,1,2
746,1,2,1,1,2,2,2,1,1,0
747,2,1,2,1,2,1,2,2,1,2
748,2,0,1,0,2,2,1,1,1,1
749,1,2,0,2,2,0,1,1,1,1
750,1,1,2,0,2,0,2,1,1,2
751,2,2,2,0,1,1,0,1,1,2
752,1,0,0,1,1,2,1,2,2,1
753,1,2,2,2,1,1,2,1,1,1
754,2,2,1,1,1,1,1,2,2,1
755,1,1,2,1,2,1,1,2,2,1
756,2,1,2,2,1,0,1,1,0,1
757,0,2,1,2,1,2,1,2,0,1
758,1,1,1,2,2,1,2,1,2,1
759,0,2,0,2,0,0,1,1,1,1
760,1,2,2,2,1,1,1,2,2,0
761,1,1,2,1,2,2,0,0,2,2
762,2,1,1,1,1,2,2,2,2,2
763,1,2,1,2,1,2,1,2,2,1
764,1,1,1,0,2,2,2,2,0,1
765,1,0,1,2,1,2,1,2,0,1
766,2,0,1,2,1,2,1,0,2,1
767,1,2,1,2,2,1,2,1,2,0
768,1,2,2,1,1,2,1,1,2,2
769,2,1,2,2,2,1,1,1,1,1
770,2,1,2,2,1,2,1,1,2,2
771,2,1,0,1,2,0,0,0,2,2
772,1,2,1,1,1,2,2,2,2,2
773,1,1,2,2,1,2,1,1,2,2
774,1,0,1,1,0,1,2,2,2,2
775,2,0,1,0,2,1,0,0,1,1
776,1,2,1,2,1,2,1,2,1,1
777,0,2,0,1,2,2,1,2,1,2
778,1,2,2,0,1,1,0,2,1,1
779,1,2,2,2,1,2,1,1,2,2
780,2,1,1,1,1,2,2,2,1,0
781,2,1,2,1,1,2,0,1,0,1
782,1,2,1,2,2,1,2,1,2,0
783,2,1,1,2,1,1,1,2,2,1
784,1,2,2,2,1,1,2,2,1,1
785,1,2,1,2,2,1,1,2,1,1
786,1,2,1,2,1,2,2,1,1,1
787,2,2,1,1,2,2,1,2,1,2
788,1,0,2,0,1,1,2,2,2,2
789,2,2,1,1,2,2,1,1,1,1
790,1,2,1,0,0,1,2,2,1,1
791,1,1,1,2,1,1,2,2,2,2
792,2,2,2,1,0,2,1,0,1,2
793,0,2,1,0,2,0,1,2,0,2
794,0,1,2,1,1,0,2,1,2,1
795,1,2,1,1,2,2,1,2,2,2
796,1,2,1,1,2,2,0,2,0,2
797,1,1,1,0,2,0,0,2,0,1
798,1,1,2,2,1,1,2,1,2,1
799,2,1,1,2,1,0,2,0,1,2
800,0,0,1,2,2,1,0,0,1,1
801,2,1,2,0,2,0,1,1,1,1
802,1,2,2,0,1,2,0,1,1,1
803,1,1,1,2,1,0,2,2,0,1
804,2,2,1,1,1,1,2,2,1,1
805,1,1,1,2,2,1,1,2,2,1
806,1,2,0,1,0,0,1,0,2,1
807,2,2,2,2,1,2,1,1,1,1
808,1,1,2,2,2,1,1,1,2,0
809,1,1,1,2,2,2,2,1,2,2
810,1,2,2,2,2,1,1,1,2,0
811,1,1,2,1,2,1,2,2,1,2
812,1,1,1,0,2,0,2,1,2,1
813,1,1,1,2,2,1,2,2,2,2
814,1,1,2,2,2,1,1,2,1,0
815,2,0,0,0,0,2,1,1,1,1
816,2,1,1,2,1,2,1,0,0,1
817,2,2,1,1,1,2,1,2,2,1
818,2,0,1,0,1,2,1,1,2,1
819,2,1,1,1,2,2,2,1,1,0
820,2,2,1,2,1,1,2,2,1,1
821,1,2,2,2,1,2,2,1,1,1
822,2,2,1,2,2,1,1,2,1,1
823,0,0,2,1,2,0,2,1,0,2
824,1,2,1,2,1,2,2,2,1,1
825,1,0,1,0,1,2,2,2,1,1
826,2,1,2,2,2,1,1,1,1,1
827,2,2,2,1,2,0,1,0,1,2
828,1,1,2,1,2,1,2,1,2,2
829,1,2,2,2,1,1,2,1,2,0
830,2,2,1,1,2,2,2,1,1,0
831,2,2,2,1,1,1,2,1,2,1
832,0,2,2,0,1,2,1,1,1,1
833,0,2,1,2,2,1,2,0,1,1
834,1,2,1,1,2,1,2,1,2,0
835,2,1,2,2,1,2,1,1,2,2
836,1,2,2,2,1,2,2,1,1,1
837,1,0,2,2,0,2,1,1,1,1
838,1,1,2,1,2,1,1,2,2,1
839,1,2,2,0,2,1,2,1,0,2
840,2,2,2,1,1,1,1,1,2,1
841,2,1,0,0,1,0,0,1,2,1
842,1,0,1,2,1,0,2,2,1,1
843,2,2,2,0,0,1,1,2,1,2
844,1,2,2,2,1,1,2,1,2,0
845,2,1,0,2,0,2,1,1,1,1
846,2,0,0,2,2,1,2,1,1,2
847,2,2,1,1,2,2,1,2,1,2
848,1,1,1,1,2,1,2,2,2,2
849,0,2,1,2,1,0,1,1,2,1
850,0,1,2,1,1,2,0,2,2,2
851,2,2,1,0,0,1,2,1,1,1
852,0,1,2,2,2,2,1,1,0,2
853,2,0,0,1,1,1,2,0,0,1
854,1,2,2,2,1,1,2,2,1,1
855,1,1,1,2,0,2,1,0,2,1
856,2,1,2,2,1,1,1,2,2,0
857,2,1,2,2,1,1,1,2,1,0
858,2,2,2,1,0,1,0,0,0,2
859,1,2,0,0,2,1,0,2,0,2
860,1,2,1,2,1,2,2,1,2,0
861,1,1,1,2,2,2,2,1,2,2
862,2,1,2,1,2,2,1,2,1,0
863,1,2,2,2,1,1,2,2,1,1
864,2,1,1,1,1,2,2,1,2,1
865,0,1,1,2,1,0,2,1,2,1
866,1,1,1,2,0,2,0,2,1,1
867,2,0,1,0,2,1,1,1,2,2
868,2,2,0,0,1,2,1,1,1,1
869,2,1,2,1,2,2,1,2,1,0
870,1,1,2,1,2,1,2,0,0,2
871,1,1,1,2,2,2,0,2,0,2
872,1,2,2,2,1,1,1,1,2,0
873,1,2,2,1,1,1,2,1,2,1
874,1,1,1,1,2,1,2,2,2,2
875,1,2,2,2,1,2,1,1,2,2
876,2,2,1,1,2,2,1,1,1,1
877,1,1,2,1,2,2,1,0,0,1
878,2,0,2,0,2,2,1,1,1,1
879,1,1,2,1,2,2,1,1,2,2
880,1,1,2,1,2,2,2,2,1,2
881,0,1,2,0,1,2,1,2,2,2
882,2,0,0,1,2,1,1,2,2,2
883,2,0,0,2,0,1,2,0,1,2
884,1,1,2,1,2,2,2,1,1,2
885,1,1,2,2,1,2,2,2,1,1
886,1,0,2,0,1,2,1,2,1,1
887,1,2,2,2,2,1,1,2,1,2
888,1,1,0,2,2,2,0,1,2,2
889,2,1,2,0,2,0,1,1,2,2
890,1,1,2,2,1,0,2,1,0,1
891,1,1,2,0,1,2,0,1,2,2
892,0,2,1,1,2,0,2,2,1,2
893,2,1,1,2,0,1,2,0,2,2
894,2,2,1,1,1,2,1,1,2,1
895,2,0,1,1,1,0,2,2,2,2
896,1,2,1,2,2,1,2,1,2,0
897,2,1,2,2,1,1,2,1,1,1
898,2,2,1,0,0,1,2,2,1,1
899,1,1,2,2,1,2,2,1,2,2
900,1,2,1,1,2,2,1,2,1,2
901,2,1,1,2,2,1,2,2,1,1
902,1,1,2,2,1,0,0,1,2,1
903,1,0,0,2,2,2,0,0,1,2
904,1,2,2,0,1,1,2,0,1,1
905,2,2,1,1,2,2,2,1,1,0
906,1,0,2,0,1,2,0,0,2,2
907,1,0,1,1,2,0,2,2,2,2
908,0,1,2,1,2,2,0,1,2,2
909,2,2,1,2,1,1,2,1,1,1
910,2,1,1,2,2,1,1,2,2,2
911,1,1,1,1,2,2,2,2,1,1
912,2,2,1,1,0,1,2,0,1,1
913,0,2,2,2,2,0,1,1,1,1
914,1,1,2,2,1,2,2,1,2,2
915,1,1,2,2,2,2,1,2,1,2
916,2,0,1,1,1,2,1,0,2,1
917,2,1,2,1,1,2,1,2,1,0
918,2,2,0,0,1,2,1,1,1,1
919,0,1,0,2,1,2,2,1,1,1
920,0,1,1,2,2,2,1,1,0,2
921,2,1,2,0,1,2,0,1,2,2
922,1,2,1,2,1,2,2,1,2,0
923,0,2,1,1,1,0,1,2,2,1
924,1,1,0,1,2,2,1,2,0,1
925,2,1,1,1,2,1,1,2,2,2
926,1,1,1,1,2,2,1,2,2,1
927,2,1,2,2,1,1,1,2,1,0
928,2,1,1,1,2,1,1,2,2,2
929,1,2,2,2,1,2,2,1,1,1
930,1,2,2,2,1,1,2,2,1,1
931,2,1,2,1,1,1,2,2,1,1
932,2,1,1,2,1,2,1,2,2,1
933,2,2,2,1,2,1,1,2,1,2
934,2,0,1,0,1,2,1,2,1,1
935,1,2,1,2,1,1,2,1,2,0
936,2,2,1,1,1,1,2,2,2,2
937,1,0,2,1,1,2,0,1,2,2
938,2,1,1,0,1,0,2,1,2,1
939,1,2,2,2,1,2,0,0,1,1
940,2,2,1,1,2,1,2,2,1,1
941,0,1,2,1,2,0,2,0,0,2
942,1,0,1,2,2,2,1,0,2,2
943,1,1,1,2,1,2,1,2,2,1
944,2,1,1,1,2,2,1,2,2,2
945,2,1,2,0,2,0,1,1,2,2
946,2,2,2,0,1,1,2,1,0,2
947,1,1,1,2,2,2,0,2,0,2
948,2,1,2,1,1,2,2,1,1,1
949,2,1,1,0,2,1,2,0,1,1
950,2,1,0,2,2,1,2,0,1,2
951,1,1,2,1,1,2,2,2,1,1
952,1,2,2,1,2,1,2,1,2,2
953,2,2,1,1,2,2,2,1,1,0
954,1,0,1,2,1,2,2,0,1,1
955,2,2,2,1,1,2,2,1,1,2
956,1,1,2,1,2,2,1,2,1,1
957,2,1,1,1,1,2,2,2,1,0
958,1,2,1,2,2,1,2,1,2,0
959,2,2,2,2,2,1,1,1,1,1
960,2,2,1,2,1,2,1,2,1,1
961,0,2,2,0,2,2,1,1,1,1
962,2,2,1,0,1,1,0,2,1,1
963,1,1,2,2,1,2,1,1,2,2
964,0,1,2,1,2,2,2,1,0,2
965,0,1,2,1,2,0,2,0,0,2
966,1,0,0,1,2,0,1,0,2,1
967,2,2,1,1,1,2,1,1,2,1
968,0,1,0,2,1,1,2,1,2,1
969,1,1,1,0,0,0,0,2,2,1
970,1,1,0,0,1,1,2,2,2,2
971,1,1,2,2,1,1,2,2,2,2
972,2,0,0,1,1,1,2,0,0,1
973,1,1,2,2,1,1,1,2,2,0
974,2,1,2,2,1,2,1,2,1,0
975,1,2,1,1,1,1,2,2,2,2
976,2,2,1,2,1,1,1,1,2,1
977,1,1,2,1,1,2,2,1,2,2
978,2,1,2,0,1,1,2,1,0,1
979,0,1,2,0,1,0,2,1,0,1
980,2,0,1,2,2,1,0,1,2,2
981,2,1,2,1,2,2,1,1,1,1
982,1,2,0,1,1,1,2,0,2,1
983,2,2,1,1,1,2,2,2,1,0
984,1,1,1,2,0,2,0,1,2,1
985,1,0,2,1,2,2,1,2,0,1
986,1,1,2,1,0,0,2,2,2,2
987,1,1,2,2,1,1,1,2,2,0
988,1,2,1,2,2,1,1,1,2,0
989,2,1,2,2,1,2,1,1,1,1
990,2,0,0,1,1,1,0,0,2,1
991,0,2,0,1,2,2,1,1,1,1
992,1,1,1,2,1,2,2,2,2,2
993,1,2,1,2,1,2,1,2,2,1
994,1,0,1,2,1,2,1,0,2,1
995,2,1,2,1,1,1,2,2,1,1
996,2,2,1,1,2,2,1,2,1,2
997,1,1,2,2,2,1,2,2,1,2
998,0,2,1,0,0,1,2,0,1,1
999,0,1,0,0,1,0,2,1,2,1
1000,2,2,2,1,2,2,1,1,1,1
1001,1,1,1,1,2,2,2,2,2,2
1002,0,2,1,2,0,2,1,1,1,1
1003,0,2,1,2,0,2,1,1,1,1
1004,2,2,2,1,0,0,1,1,2,2
1005,0,1,0,0,0,1,2,2,2,2
1006,2,2,2,0,1,1,1,2,0,2
1007,1,1,2,2,2,1,2,1,2,2
1008,1,2,2,2,1,2,1,1,2,2
1009,2,0,1,0,1,2,1,2,1,1
1010,1,1,2,0,1,2,2,0,2,2
1011,2,2,1,1,2,2,2,1,1,0
1012,2,1,1,2,1,0,2,0,1,2
1013,2,2,2,2,1,1,1,2,1,2
1014,1,1,1,0,1,2,2,0,2,1
1015,1,2,0,1,0,2,1,1,2,1
1016,2,2,2,1,0,1,1,0,2,2
1017,2,1,2,1,1,2,2,1,2,2
1018,1,2,1,2,1,1,2,2,2,2
1019,2,1,1,2,0,0,2,1,2,2
1020,2,2,1,1,2,2,2,1,1,0
1021,2,2,0,1,0,2,1,1,1,1
1022,1,1,1,2,0,2,1,0,2,1
1023,2,1,0,1,2,2,0,1,2,2
1024,0,0,0,2,0,2,1,1,1,1
1025,1,0,0,2,1,0,2,0,1,1
1026,0,2,0,1,2,1,2,2,1,2
1027,0,1,0,2,2,2,0,0,1,2
1028,2,2,1,2,1,1,2,1,2,2
1029,2,1,2,2,1,2,1,1,1,1
1030,2,1,1,2,1,0,2,2,0,2
1031,1,2,1,0,2,1,1,2,0,2
1032,2,2,1,2,1,1,2,2,1,1
1033,1,1,1,2,1,2,2,2,2,2
1034,1,1,2,1,2,1,2,2,2,2
1035,1,2,2,1,2,2,2,1,1,2
1036,2,2,1,2,1,0,1,1,0,1
1037,1,2,1,1,2,1,2,1,2,0
1038,2,1,1,2,0,1,2,0,2,2
1039,1,2,1,2,1,2,2,2,1,1
1040,1,2,2,1,1,1,2,2,2,2
1041,2,1,2,1,2,1,1,1,2,2
1042,1,1,2,2,1,1,2,2,1,1
1043,2,1,0,2,1,1,2,1,0,1
1044,2,2,2,1,1,0,2,0,1,2
1045,1,0,0,1,1,2,1,2,2,1
1046,1,2,1,0,1,0,2,2,1,1
1047,1,1,1,2,0,1,2,0,2,1
1048,2,2,1,1,1,1,2,1,2,1
1049,1,1,0,2,1,0,2,2,1,1
1050,2,0,2,1,2,0,1,1,2,2
1051,2,1,2,1,2,1,2,2,1,2
1052,2,1,1,2,1,0,1,2,0,1
1053,1,1,2,2,2,1,2,0,0,2
1054,1,1,2,2,1,1,2,2,1,1
1055,1,1,2,1,1,2,0,0,2,2
1056,1,0,1,2,0,1,2,2,1,1
1057,2,1,1,2,1,0,2,2,0,2
1058,1,2,2,2,1,1,2,1,2,0
1059,2,1,1,2,2,2,1,2,1,2
1060,0,2,1,2,0,2,1,1,1,1
1061,2,2,1,2,1,2,2,1,1,2
1062,2,0,1,2,1,2,1,2,0,1
1063,2,2,1,2,1,2,1,2,1,1
1064,1,2,1,2,2,1,1,2,1,1
1065,1,2,2,0,2,1,0,2,1,2
1066,1,1,2,2,1,2,1,2,1,1
1067,1,0,0,2,1,1,2,2,2,2
1068,1,1,2,2,2,2,1,1,1,1
1069,2,1,1,1,2,2,1,1,2,2
1070,2,2,2,0,1,0,1,2,1,2
1071,0,2,1,2,1,1,0,2,1,1
1072,1,1,2,2,1,1,2,1,2,1
1073,1,2,0,1,0,2,1,1,2,1
1074,1,0,1,2,2,2,0,1,1,2
1075,1,2,2,2,1,1,2,1,1,1
1076,2,1,2,2,1,1,1,1,2,1
1077,2,1,2,1,1,2,2,1,2,2
1078,0,1,1,0,1,2,2,2,2,2
1079,2,1,1,1,1,2,1,2,2,1
1080,0,2,1,2,1,2,1,2,0,1
1081,1,2,2,1,0,1,1,2,0,1
1082,1,1,2,0,2,2,2,0,1,2
1083,1,1,2,1,1,2,2,1,2,2
1084,1,2,1,2,1,1,2,2,2,2
1085,2,2,2,1,0,2,1,1,0,2
1086,2,1,2,2,2,1,1,2,1,0
1087,2,1,1,2,2,2,2,1,1,2
1088,2,2,1,2,1,2,1,1,2,1
1089,2,1,1,2,2,1,2,2,1,1
1090,2,1,2,2,2,1,1,1,2,2
1091,2,1,1,1,2,2,1,1,2,2
1092,2,2,2,1,1,2,2,1,1,2
1093,1,2,1,1,1,1,2,2,2,2
1094,1,1,1,2,2,1,1,2,2,1
1095,1,2,1,2,2,1,2,2,1,1
1096,1,2,2,0,1,0,2,1,1,1
1097,0,2,1,0,2,2,1,2,1,2
1098,1,2,1,1,1,1,2,2,2,2
1099,2,1,2,1,1,2,1,2,1,0
1100,2,1,1,1,2,2,2,2,1,0
1101,1,1,0,2,2,2,0,0,0,2
1102,2,1,1,1,1,2,2,2,2,2
1103,2,1,0,0,2,1,1,2,2,2
1104,2,1,2,1,1,2,1,1,2,2
1105,2,1,2,1,1,1,1,2,2,1
1106,2,2,1,1,1,2,2,2,1,0
1107,2,2,1,1,2,1,1,2,2,2
1108,1,1,1,2,2,1,2,0,0,1
1109,1,1,2,2,1,1,1,2,2,0
1110,2,1,0,1,1,0,2,2,2,2
1111,1,1,1,2,2,2,2,1,1,2
1112,1,1,2,2,1,2,0,1,0,1
1113,1,0,2,1,2,2,1,0,1,1
1114,1,1,2,2,2,0,2,1,0,2
1115,1,2,2,2,1,2,1,1,1,1
1116,1,2,2,2,1,1,1,2,2,0
1117,1,2,1,0,2,0,2,2,1,2
1118,2,2,1,1,1,1,2,1,2,1
1119,0,2,0,0,2,1,1,2,0,2
1120,1,1,2,2,2,1,2,1,1,2
1121,0,1,1,2,1,2,1,0,2,1
1122,1,1,2,1,2,2,2,0,0,2
1123,2,1,1,2,1,1,2,0,0,2
1124,1,2,1,2,2,1,1,1,2,0
1125,2,2,1,1,2,1,2,1,1,1
1126,2,0,2,0,1,2,1,1,2,2
1127,2,1,1,2,2,1,2,1,2,2
1128,2,2,2,0,2,1,1,1,0,2
1129,1,1,1,1,2,2,2,2,2,2
1130,0,2,2,0,1,2,1,1,2,2
1131,2,0,2,0,1,2,1,1,2,2
1132,1,0,2,1,2,1,2,2,0,2
1133,2,1,2,0,1,0,2,1,2,1
1134,1,0,0,1,2,0,1,2,0,1
1135,1,1,0,2,2,2,0,0,0,2
1136,2,2,1,2,1,0,1,0,2,1
1137,2,1,1,2,1,2,1,1,2,1
1138,2,0,2,0,1,2,1,1,1,1
1139,0,1,2,2,1,1,0,1,2,1
1140,2,1,2,2,2,1,1,1,1,1
1141,0,1,2,2,2,2,1,0,1,2
1142,2,0,1,0,1,1,2,2,1,1
1143,1,2,1,2,2,1,2,1,1,1
1144,1,2,1,2,2,2,2,1,1,2
1145,2,0,2,1,1,1,2,2,0,1
1146,1,2,1,2,1,1,1,2,2,1
1147,1,2,2,1,1,2,1,2,2,2
1148,2,2,2,0,0,0,1,0,1,2
1149,1,2,1,2,2,1,1,2,2,2
1150,1,1,2,0,1,0,2,1,2,1
1151,2,1,1,1,1,1,2,2,2,2
1152,1,2,1,1,1,2,2,1,2,0
1153,2,1,1,2,2,1,1,1,2,2
1154,0,2,0,1,1,1,2,1,2,1
1155,1,1,1,2,1,1,2,2,2,2
1156,1,2,2,2,1,1,2,1,1,1
1157,2,2,2,1,1,2,1,1,1,1
1158,1,2,2,1,1,2,1,1,2,2
1159,2,1,2,2,1,2,1,1,2,2
1160,2,1,2,2,1,2,1,2,1,0
1161,1,0,2,0,1,2,2,2,1,1
1162,0,0,2,1,2,1,2,0,0,2
1163,1,2,2,2,2,1,1,2,1,2
1164,2,1,1,2,2,0,2,1,0,2
1165,1,2,2,1,1,1,2,1,2,1
1166,1,1,2,0,0,2,0,0,2,2
1167,1,2,0,1,2,1,1,0,2,1
1168,2,2,1,1,1,1,1,2,2,1
1169,2,1,2,2,1,2,2,1,1,1
1170,2,2,1,1,1,2,2,1,1,0
1171,2,1,1,1,2,2,2,1,2,2
1172,1,2,1,2,1,1,2,1,2,0
1173,1,1,2,2,2,1,2,1,2,2
1174,2,2,0,2,0,2,1,1,1,1
1175,0,1,2,2,1,2,1,0,2,2
1176,2,1,1,1,2,1,2,1,2,2
1177,2,1,0,1,2,0,0,0,2,2
1178,1,1,1,2,0,2,2,1,0,1
1179,2,2,2,0,0,1,0,0,1,2
1180,2,1,2,1,0,2,0,1,2,2
1181,1,2,2,1,2,1,1,2,2,2
1182,1,1,2,1,2,0,1,0,2,1
1183,1,2,1,2,1,1,2,1,2,0
1184,1,1,2,1,2,2,2,1,1,2
1185,2,2,1,1,1,1,2,1,2,1
1186,1,0,1,2,1,0,2,2,1,1
1187,1,0,2,1,2,1,2,0,1,2
1188,2,2,2,1,1,0,0,2,1,2
1189,1,2,1,1,2,1,2,2,2,2
1190,1,2,1,2,1,2,2,1,2,0
1191,1,2,2,1,2,1,1,2,1,2
1192,1,1,2,1,1,2,1,2,2,2
1193,1,2,2,1,1,2,2,1,1,1
1194,2,1,0,2,0,1,2,1,1,2
1195,1,1,0,1,1,0,2,2,2,2
1196,0,1,2,2,1,0,0,1,0,1
1197,2,2,1,2,2,1,1,2,1,1
1198,2,2,2,1,1,2,1,2,1,2
1199,1,1,2,1,1,2,2,2,1,1
1200,1,2,1,1,1,2,2,2,2,2
1201,1,0,0,2,1,1,2,2,1,1
1202,2,2,1,1,1,2,2,1,2,0
1203,1,1,2,1,1,1,2,2,2,2
1204,0,0,2,0,0,2,1,1,1,1
1205,2,1,2,2,1,0,2,1,0,1
1206,1,2,1,2,2,1,1,1,2,0
1207,2,0,2,0,1,2,1,1,1,1
1208,1,2,1,2,1,2,1,1,2,1
1209,2,1,1,0,0,1,2,2,2,2
1210,1,2,1,2,1,2,1,2,2,1
1211,1,2,1,1,1,2,2,2,1,1
1212,1,0,0,2,2,2,1,2,1,2
1213,0,1,2,2,1,0,0,1,0,1
1214,1,1,2,1,1,2,1,2,2,2
1215,2,1,2,1,2,1,1,1,2,2
1216,2,0,1,2,1,1,2,0,2,2
1217,1,1,2,2,2,1,1,2,2,0
1218,2,1,1,1,1,2,2,2,1,0
1219,1,0,1,0,1,2,2,2,1,1
1220,2,2,1,2,1,2,1,2,1,1
1221,1,0,1,2,0,1,2,2,1,1
1222,2,2,1,1,1,2,1,2,2,1
1223,1,1,2,1,2,1,2,1,2,2
1224,2,1,1,1,2,2,2,2,1,0
1225,2,2,1,1,1,1,2,1,2,1
1226,2,1,2,2,1,1,1,2,1,0
1227,1,2,2,1,1,2,1,1,2,2
1228,1,2,2,1,1,0,1,2,0,1
1229,2,0,1,2,2,1,2,1,0,2
1230,2,1,0,2,0,2,2,1,1,2
1231,2,1,1,1,1,2,2,2,1,0
1232,2,2,2,0,0,1,1,1,1,1
1233,2,1,2,1,1,2,2,2,1,0
1234,2,1,2,2,1,1,2,2,1,2
1235,1,1,1,2,2,0,2,0,1,1
1236,1,1,2,2,2,1,1,2,2,0
1237,1,2,1,2,2,2,2,1,1,2
1238,0,1,0,2,2,2,1,1,2,2
1239,2,1,2,0,0,2,1,1,2,2
1240,1,0,0,0,1,0,2,2,1,1
1241,1,0,2,1,0,2,1,2,1,1
1242,1,2,1,1,2,2,2,1,1,0
1243,1,2,1,1,2,1,2,2,2,2
